duration events: 338,004; distinct names: 2,335
    total ms    count    mean us  domain               name
    1617.353       48   33694.85  sglang::scheduler    python/sglang/srt/layers/moe/fused_moe_triton/layer.py(1421): forward
    1617.038       48   33688.30  sglang::scheduler    python/sglang/srt/layers/moe/fused_moe_triton/layer.py(1462): forward_impl
    1612.986       48   33603.87  sglang::scheduler    python/sglang/srt/layers/moe/fused_moe_triton/layer.py(1530): run_moe_core
     747.906      193    3875.16  sglang::scheduler    Memcpy HtoD (Pinned -> Device)
     491.517       96    5119.97  sglang::scheduler    fused_moe_kernel_gptq_awq_word
     414.037      384    1078.22  sglang::scheduler    void sglang::device::marlin::Marlin<__nv_bfloat16, 1125899923621888l, 256, 4, 16, 4, false, 4, 8, false>(int4 const*, int4 const*, int4*, int4*, int4 const*, unsigned short const*, int4 const*, int const*, int, int, int, int, int, int*, bool, bool, int)
     408.410      279    1463.84  sglang::scheduler    cudaMemcpyAsync
     401.352      108    3716.22  sglang::scheduler    python/sglang/kernels/fused_op.py(623): forward
     393.464       12   32788.68  sglang::scheduler    python/sglang/srt/models/qwen4_exp.py(1736): self_attention
     375.887       12   31323.93  sglang::scheduler    python/sglang/srt/layers/attention/qsa/qsa_indexer.py(550): forward_cuda
     359.552       12   29962.64  sglang::scheduler    python/sglang/srt/layers/attention/qsa/metadata.py(124): get_prefill_mqa_inputs
      72.256       48    1505.33  sglang::scheduler    python/sglang/srt/layers/attention/hybrid_linear_attn_backend.py(1172): forward
      71.647       48    1492.64  sglang::scheduler    python/sglang/srt/layers/attention/hybrid_linear_attn_backend.py(1142): forward_extend
      66.350       36    1843.06  sglang::scheduler    python/sglang/srt/layers/radix_linear_attention.py(95): forward
      64.527       36    1792.41  sglang::scheduler    python/sglang/srt/layers/attention/linear/gdn_backend.py(489): forward_extend
      62.005      855      72.52  sglang::scheduler    triton/runtime/jit.py(370): <lambda>
      57.858       48    1205.38  sglang::scheduler    python/sglang/srt/layers/moe/moe_runner/triton.py(182): fused_experts_none_to_triton
      56.389       48    1174.78  sglang::scheduler    python/sglang/srt/layers/moe/moe_runner/triton_utils/fused_moe.py(247): fused_experts
      55.768      855      65.23  sglang::scheduler    triton/runtime/jit.py(708): run
      55.468       48    1155.58  sglang::scheduler    <built-in method outplace_fused_experts of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x752fdeff5a50>
      55.163        1   55163.12  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_3
      54.424        1   54424.22  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_0
      53.929        1   53928.54  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_10
      53.189        1   53188.80  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_2
      53.055        1   53054.94  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_1
      53.022        1   53022.29  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_7
      53.016        1   53015.50  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_5
      52.924        1   52923.66  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_8
      52.256       48    1088.67  sglang::scheduler    sglang::outplace_fused_experts
      52.202        1   52201.76  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_9
      52.067        1   52066.77  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_11
      51.045        1   51044.96  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_6
      50.791        1   50791.32  sglang::scheduler    nn.Module: Qwen4ExpAttentionDecoderLayer_4
      50.619       48    1054.57  sglang::scheduler    python/sglang/srt/layers/moe/moe_runner/triton_utils/fused_moe.py(175): outplace_fused_experts
      50.101       48    1043.78  sglang::scheduler    python/sglang/srt/layers/moe/moe_runner/triton_utils/fused_moe.py(971): fused_experts_impl
      46.314       36    1286.49  sglang::scheduler    python/sglang/srt/layers/attention/linear/gdn_backend.py(284): extend
      46.096       36    1280.45  sglang::scheduler    python/sglang/srt/layers/attention/linear/kernels/gdn_triton.py(169): extend
      45.257       36    1257.13  sglang::scheduler    python/sglang/kernels/ops/attention/fla/chunk.py(132): chunk_gated_delta_rule
      45.086       72     626.19  sglang::scheduler    python/sglang/kernels/ops/attention/fla/utils.py(150): wrapper
      42.932        1   42932.26  sglang::scheduler    nn.Module: FusedMoE_41
      42.730        1   42730.17  sglang::scheduler    nn.Module: FusedMoE_22
      42.632        1   42631.52  sglang::scheduler    nn.Module: FusedMoE_24
      42.508        1   42508.10  sglang::scheduler    nn.Module: FusedMoE_18
      42.322        1   42322.06  sglang::scheduler    nn.Module: FusedMoE_4
      42.206        1   42205.78  sglang::scheduler    nn.Module: FusedMoE_38
      42.196        1   42195.80  sglang::scheduler    nn.Module: FusedMoE_36
      41.936        1   41936.32  sglang::scheduler    nn.Module: FusedMoE_13
      41.677        1   41676.97  sglang::scheduler    nn.Module: FusedMoE_6
      41.567        1   41566.68  sglang::scheduler    nn.Module: FusedMoE_34
      41.524        1   41523.58  sglang::scheduler    nn.Module: FusedMoE_2
      41.239        1   41238.94  sglang::scheduler    nn.Module: FusedMoE_45
      41.029        1   41029.08  sglang::scheduler    nn.Module: FusedMoE_8
      40.958        1   40958.03  sglang::scheduler    nn.Module: FusedMoE_21
      40.866        1   40866.14  sglang::scheduler    nn.Module: FusedMoE_5
      40.828        1   40827.91  sglang::scheduler    nn.Module: FusedMoE_29
      40.818        1   40818.15  sglang::scheduler    nn.Module: FusedMoE_12
      40.374        1   40374.04  sglang::scheduler    nn.Module: FusedMoE_10
      40.372        1   40372.02  sglang::scheduler    nn.Module: FusedMoE_33
      40.357        1   40357.00  sglang::scheduler    nn.Module: FusedMoE_44
      40.293        1   40293.47  sglang::scheduler    nn.Module: FusedMoE_42
      40.197        1   40196.65  sglang::scheduler    nn.Module: FusedMoE_9
      40.033        1   40033.28  sglang::scheduler    nn.Module: FusedMoE_17
      39.850        1   39850.28  sglang::scheduler    nn.Module: FusedMoE_14
      39.637        1   39637.49  sglang::scheduler    nn.Module: FusedMoE_20
      39.636        1   39635.79  sglang::scheduler    nn.Module: FusedMoE_30
      39.453        1   39452.59  sglang::scheduler    nn.Module: FusedMoE_46
      39.130        1   39129.94  sglang::scheduler    nn.Module: FusedMoE_28
      39.083        1   39082.93  sglang::scheduler    nn.Module: FusedMoE_25
      38.910        1   38909.81  sglang::scheduler    nn.Module: FusedMoE_37
      37.740        1   37739.95  sglang::scheduler    nn.Module: FusedMoE_32
      37.564        1   37564.49  sglang::scheduler    nn.Module: FusedMoE_40
      36.648       36    1017.99  sglang::scheduler    python/sglang/kernels/ops/attention/fla/chunk.py(89): forward
      36.544        1   36543.60  sglang::scheduler    nn.Module: FusedMoE_16
      35.520        1   35520.36  sglang::scheduler    nn.Module: FusedMoE_26
      29.205       48     608.43  sglang::scheduler    python/sglang/srt/layers/moe/moe_runner/triton_utils/fused_moe.py(477): _fused_moe_kernel_sequence
      28.116        1   28115.53  sglang::scheduler    nn.Module: FusedMoE_1
      26.776      193     138.74  sglang::scheduler    python/sglang/srt/layers/quantization/gptq/schemes/gptq_marlin.py(155): apply_weights
      25.744      194     132.70  sglang::scheduler    triton_poi_fused_mean_mul_sigmoid_view_1
      24.245      193     125.62  sglang::scheduler    python/sglang/srt/layers/quantization/marlin_utils.py(488): apply_gptq_marlin_linear
      23.563       36     654.53  sglang::scheduler    python/sglang/kernels/ops/attention/fla/chunk.py(36): chunk_gated_delta_rule_fwd
      22.096      192     115.09  sglang::scheduler    cudaMemcpyBatchAsync
      19.508       48     406.42  sglang::scheduler    python/sglang/srt/layers/moe/moe_runner/triton_utils/fused_moe.py(387): _prepare_fused_moe_run
      19.464        1   19463.62  sglang::scheduler    nn.Module: FusedMoE_15
      17.772        1   17772.06  sglang::scheduler    nn.Module: FusedMoE_43
